,,,,2MASS Photometry,,,,,,WISE Photometry,,,,,,,,Spectra,,,,Astrometry,,,,,,,,,,,
,Soho,,,14.5,,13.4,,12.6,,11.9,0.0,11.5,0.0,10.8,0.1,9.0,null,L4:β,,Reid et al. 2008,Cruz et al. in prep,0.262,0.022,-0.12,0.022,,,,,Faherty et al. 2009,Wilson et al. 2003,,
,Nolita,,,15.9,,14.8,,14.0,,13.2,0.0,12.7,0.0,11.4,0.2,8.8,null,L4γ,,Cruz et al. in prep,Cruz et al. in prep,0.032,0.019,-0.061,0.02,,,,,Faherty et al. 2009,Cruz et al. in prep,,
,15 47 47.19 -24 23 49.3,236.94663,-24.40,13.97,0.03,13.27,0.03,12.74,0.03,12.41,0.03,12.11,0.03,12.11,null,8.74,null,M9γ,,Reid et al. 2008,,-0.133,0.015,-0.122,0.016,,,,,Faherty et al. 2009,Reid et al. 2008,,
,15 51 52.37 +09 41 14.8,237.96821,9.69,16.32,0.11,15.11,0.07,14.31,0.06,13.60,0.03,13.12,0.03,12.68,0.48,9.16,null,L4γ,,Cruz et al. in prep,,-0.07,0.022,-0.05,0.022,,,,,Faherty et al. 2009,Reid et al. 2008,,
,15 52 59.06 +29 48 48.5,238.24608,29.81,13.48,0.03,12.61,0.03,12.02,0.03,11.54,0.02,11.21,0.02,10.66,0.05,9.00,null,L0β,,Cruz et al. 2009,,-0.157,0.02,-0.051,0.02,,,,,Faherty et al. 2009,Wilson et al. 2003,,
,15 57 50.11 -29 52 43.1,239.45881,-29.88,16.32,0.12,15.45,0.10,14.85,0.11,14.44,0.04,14.07,0.06,12.15,0.34,8.67,null,M9δ,,Kirkpatrick et al. 2010,Kirkpatrick et al. 2010,,,,,,,,,,Kirkpatrick et al. 2010,,
,16 15 42.5 +49 53 21,243.92723,49.89,16.79,0.14,15.33,0.10,14.31,0.07,13.20,0.02,12.62,0.02,12.13,0.13,9.31,null,L4γ,,Cruz et al. in prep,Geissler et al. 2011,,,,,,,,,,Cruz et al. 2007,,
,Greenwich,,,14.4,,13.6,,13.0,,12.6,0.0,12.2,0.02,11.66,0.15,9.33,null,L0γ,,Cruz et al. in prep,,-0.053,0.011,-0.036,0.016,,,,,Faherty et al. 2009,Cruz et al. 2007,,
,17 26 00.0 +15 38 19,261.50029,15.64,15.67,0.07,14.47,0.05,13.66,0.05,13.07,0.03,12.69,0.03,11.56,0.16,9.31,null,L3.5γ,,Cruz et al. 2009,,-0.031,0.013,-0.048,0.014,,,,,Faherty et al. 2009,Kirkpatrick et al. 2000,,
,19 35 55.95 -28 46 34.3,293.98312,-28.78,13.95,0.03,13.18,0.02,12.71,0.03,12.35,0.03,11.91,0.03,10.52,0.08,8.64,null,M9γ,,Reid et al. 2008,,,,,,,,,,,Reid et al. 2008,,
,19 56 47.00 -75 42 27.0,299.19583,-75.71,16.15,0.10,15.04,0.10,14.23,0.07,13.69,0.03,13.25,0.03,12.68,null,9.17,null,L0γ,,Cruz et al. 2009,,,,,,,,,,,Reid et al. 2008,,
DENIS-P J200048.3-752306,20 00 48.41 -75 23 07.0,300.20171,-75.39,12.73,0.03,11.97,0.03,11.51,0.03,11.11,0.02,10.80,0.02,10.55,0.07,8.55,null,M9γ,,Reid et al. 2008,,,,,,,,,,,,,
,Rockefeller,,,15.3,,14.2,,13.4,,12.5,0.0,12.1,0.03,11.44,0.21,8.82,null,L5β,,Cruz et al. in prep,Cruz et al. in prep,-0.098,0.013,-0.105,0.014,,,,,Faherty et al. 2009,Cruz et al. 2007,,
,20 13 51.52 -28 06 02.0,303.46467,-28.10,14.24,0.03,13.46,0.03,12.94,0.03,12.53,0.03,12.16,0.03,11.88,0.28,8.66,null,M9γ,,Cruz et al. in prep,,,,,,,,,,,Reid et al. 2008,,
,21 26 50.40 -81 40 29.3,321.71000,-81.67,15.54,0.06,14.41,0.05,13.55,0.04,12.91,0.02,12.47,0.02,11.89,0.16,9.36,null,L3γ,,Cruz et al. 2009,,,,,,,,,,,Reid et al. 2008,,
,Tribeca,,,16.4,0.1,15.0,,14.1,,13.37,0.03,12.92,0.03,12.05,0.32,8.43,null,L4β,,Cruz et al. in prep,,,,,,,,,,,Cruz et al. in prep,,
,Harlem,,,15.5,,14.4,,13.6,,12.82,0.02,12.38,0.03,11.89,0.22,9.26,null,L4γ,,Cruz et al. in prep,,0.111,0.013,-0.182,0.018,,,,,Faherty et al. 2009,K00,,
,22 08 13.63 +29 21 21.5,332.05679,29.36,15.80,0.09,14.79,0.07,14.15,0.07,13.35,0.03,12.89,0.03,12.58,0.39,9.30,null,L3γ,,Cruz et al. 2009,,0.111,0.014,-0.011,0.014,,,,,Faherty et al. 2009,Kirkpatrick et al. 2000,,
,22 13 44.9 -21 36 07,333.43715,-21.60,15.38,0.04,14.40,0.06,13.76,0.04,13.23,0.03,12.83,0.03,11.55,0.20,9.07,null,L0γ,,Cruz et al. 2009,,0.06,0.011,-0.063,0.017,,,,,Faherty et al. 2009,Cruz et al. 2007,,
SDSS 2249+0044,22 49 53.45 +00 44 04.6,342.47273,0.73,16.59,0.12,15.42,0.11,14.36,0.07,13.58,0.03,13.14,0.05,11.28,null,7.69,null,L4γ,,Cruz et al. in prep,Geballe et al. 2002,0.075,0.018,0.026,0.018,,,,,Faherty et al. 2009,Geballe et al. 2002,,Binary: Allers et al. 2010
,Chinatown,,,15.8,,14.7,,14.0,,13.55,0.03,13.10,0.03,11.67,0.23,8.59,null,L0γ,,Cruz et al. in prep,,,,,,,,,,,Cruz et al. in prep,,
,23 22 52.99 -61 51 27.5,350.72079,-61.86,15.55,0.06,14.54,0.06,13.86,0.04,13.24,0.03,12.84,0.03,12.68,0.39,9.38,null,L2γ,,Cruz et al. 2009,,,,,,,,,,,Reid et al. 2008,,
