name cat d_as RV eRV
J024746.49-580427.4 LauraRV 0.0 12.2 1
J024852.67-340424.9 III/283/ravedr6 0.753 10.53 12.96
J024852.67-340424.9 J/AJ/147/146/stars 0.93 23.3 0.5
J024852.67-340424.9 J/AJ/154/129/catalog 0.8 14.6 0.3
J024852.67-340424.9 J/AJ/154/69/table4 0.84 14.8 0.5
J024852.67-340424.9 J/ApJ/840/87/targets 0.88 14.47 5.54
J024852.67-340424.9 LauraRV 0.0 12.5 2
J025154.17+222728.9 J/A+A/612/A49/tableb1 1.46 -18.849 -999
J025154.17+222728.9 J/A+A/656/A162/table1 1.42 9.14 0.08
J025154.17+222728.9 J/MNRAS/475/1960/tablea6 1.46 9.09 29.2
J025154.17+222728.9 LauraRV 0.0 11.4 2.6
J025913.40+203452.6 I/345/gaia2 0.575 -25.08 19.66
J030002.98+550652.4 I/345/gaia2 0.409 -6.88 1.73
J030002.98+550652.4 LauraRV 0.0 17.9 4.2
J030251.62-191150.0 LauraRV 0.0 12.3 1.2
J030824.14+234554.2 I/345/gaia2 0.471 16.87 1.97
J031650.45-350937.9 LauraRV 0.0 17 2.7
J032047.66-504133.0 I/345/gaia2 0.533 17.86 0.31
J032047.66-504133.0 III/283/ravedr6 0.759 20.02 1.45
J032047.66-504133.0 J/AJ/147/146/stars 0.85 17.4 0.3
J032047.66-504133.0 Sept_14_Alex_RV  0.0  18.166 0.511
J033235.82+284354.6 J/AJ/154/69/table4 0.86 9.4 0.4
J033235.82+284354.6 J/MNRAS/475/1960/tablea6 0.86 10.35 43.0
J033235.82+284354.6 J/other/RAA/15.1182/dr1mcat 0.218 -23.618999 20.3
J033640.91+032918.3 J/A+A/614/A76/tablea1 1.62 32.96 6.65
J033640.91+032918.3 J/AJ/147/20/table6 1.79 15 4
J033640.91+032918.3 J/other/RAA/15.1182/dr1mcat 1.679 22.92 19.2
J033640.91+032918.3 LauraRV 0.0 13.9 4.8
J034115.60-225307.8 I/345/gaia2 0.497 17.64 1.63
J034115.60-225307.8 LauraRV 0.0 19.2 1.7
J034116.16-225244.0 I/345/gaia2 0.406 17.08 4.31
J034236.95+221230.2 LauraRV 0.0 10.6 1.4
J034444.80+404150.4 LauraRV 0.0 7.7 17
J035100.83+141339.2 J/A+A/649/A6/table1c 0.739 18.202 5.74
J035134.51+072224.5 LauraRV 0.0 33.2 1
J035223.52-282619.6 I/345/gaia2 0.594 23.23 6.12
J035223.52-282619.6 LauraRV 0.0 13.9 4.6
J035345.92-425018.0 I/345/gaia2 0.33 16.7 4.13
J035345.92-425018.0 LauraRV 0.0 20.1 1.3
J035716.56-271245.5 I/345/gaia2 0.789 -10.78 0.62
J035716.56-271245.5 LauraRV 0.0 1 1.6
J035733.95+244510.2 I/345/gaia2 0.359 12.85 1.29
J035829.67-432517.2 III/283/ravedr6 0.013 10.44 4.68
J040539.68-401410.5 LauraRV 0.0 16.6 1.5
J040649.38-450936.3 I/345/gaia2 0.369 20.24 2.47
J040649.38-450936.3 III/283/ravedr6 0.431 30.63 3.79
J040649.38-450936.3 LauraRV 0.0 20.6 0.6
J040711.50-291834.3 III/283/ravedr6 0.143 11.42 3.8
J040711.50-291834.3 LauraRV 0.0 19.4 1.2
J040743.83-682511.0 J/AJ/147/146/stars 0.61 17.4 1.1
J040743.83-682511.0 Sept_14_Alex_RV  0.0  15.389 1.239
J040809.80-611904.3 I/345/gaia2 0.351 10.31 0.54
J040809.80-611904.3 III/283/ravedr6 0.5 12.42 0.69
J040809.80-611904.3 LauraRV 0.0 10.6 0.8
J040827.01-784446.7 I/345/gaia2 0.463 14.25 0.86
J040827.01-784446.7 J/AJ/147/146/stars 0.6 16.8 0.5
J040827.01-784446.7 LauraRV 0.0 16.1 1.2
J041050.04-023954.4 I/345/gaia2 0.483 12.4 9.83
J041050.04-023954.4 III/283/ravedr6 0.358 17.5 5.33
J041255.78-141859.2 III/283/ravedr6 0.636 19.11 2.61
J041255.78-141859.2 LauraRV 0.0 16.4 1.1
J041336.14-441332.4 III/283/ravedr6 0.376 2.37 6.66
J041336.14-441332.4 J/AJ/147/146/stars 0.55 16.4 1.4
J041336.14-441332.4 Sept_14_Alex_RV  0.0  16.778 4.491
J041525.58-212214.5 LauraRV 0.0 20.5 0.5
J041749.66+001145.4 I/345/gaia2 0.319 19.18 3.09
J041749.66+001145.4 LauraRV 0.0 8.1 6.8
J041807.76+030826.0 LauraRV 0.0 15.7 1.7
J042139.19-723355.7 III/283/ravedr6 0.788 15.48 3.1
J042139.19-723355.7 J/AJ/147/146/stars 0.82 15.6 0.4
J042139.19-723355.7 J/AJ/154/129/catalog 0.8 15.0 0.3
J042139.19-723355.7 LauraRV 0.0 14.2 0.8
J042736.03-231658.8 LauraRV 0.0 20 1.4
J042739.33+171844.2 I/345/gaia2 0.299 17.88 1.33
J042739.33+171844.2 LauraRV 0.0 17.6 0.5
J043657.44-161306.7 J/A+A/649/A6/table1c 0.696 15.6 0.5
J043657.44-161306.7 J/AJ/147/146/stars 0.91 16.6 1.9
J043657.44-161306.7 J/MNRAS/475/1960/tablea6 0.71 16.04 35.5
J043657.44-161306.7 LauraRV 0.0 16.4 2.3
J043726.87+185126.2 I/345/gaia2 0.294 11.26 12.88
J043726.87+185126.2 LauraRV 0.0 9.3 1.5
J044036.23-380140.8 echelle_dec13_results  0.0  376.03 1.72
J044036.23-380140.8 I/345/gaia2 0.153 378.35 2.82
J044036.23-380140.8 III/283/ravedr6 0.152 376.54 1.26
J044120.81-194735.6 LauraRV 0.0 23.6 1.2
J044154.44+091953.1 J/other/RAA/15.1182/dr1mcat 0.59 58.881001 13.4
J044336.19-003401.8 LauraRV 0.0 20.9 1.1
J044356.87+372302.7 J/AJ/154/69/table4 0.68 6.4 0.3
J044356.87+372302.7 J/MNRAS/475/1960/tablea6 0.68 6.67 64.5
J044356.87+372302.7 LauraRV 0.0 7.1 1.1
J044455.71+193605.3 LauraRV 0.0 26 1.6
J044700.46-513440.4 I/345/gaia2 0.492 15.94 1.27
J044700.46-513440.4 J/AJ/147/146/stars 0.48 19.9 0.3
J044700.46-513440.4 LauraRV 0.0 18.3 0.7
J044721.05+280852.5 J/A+A/649/A6/table1c 0.405 39.573 10.779
J044800.86+143957.7 J/AJ/154/69/table4 0.43 14.9 0.8
J044800.86+143957.7 LauraRV 0.0 13.7 0.6
J044802.59+143951.1 J/AJ/154/69/table4 0.37 14.9 0.4
J044802.59+143951.1 LauraRV 0.0 15.3 0.4
J045114.41-601830.5 I/345/gaia2 0.259 20.52 1.38
J045114.41-601830.5 LauraRV 0.0 20 1.8
J045651.47-311542.7 I/345/gaia2 0.206 254.65 0.45
J045651.47-311542.7 III/283/ravedr6 0.084 256.08 0.52
J045651.47-311542.7 J/ApJ/868/110/table1 0.08 249.0 0.5
J045651.47-311542.7 V/137D/XHIP 0.157 239.0 999.0
J050610.44-582828.5 I/345/gaia2 0.467 19.63 0.72
J050610.44-582828.5 LauraRV 0.0 18 1.6
J050827.31-210144.3 J/A+A/612/A49/tableb1 0.21 33.752 -999
J050827.31-210144.3 J/A+A/649/A6/table1c 0.425 22.2 1.4
J050827.31-210144.3 J/AJ/154/69/table4 0.21 23.5 1.8
J050827.31-210144.3 J/AJ/157/234/table2 0.31 24.94 0.92
J050827.31-210144.3 J/MNRAS/475/1960/tablea6 0.21 27.92 54.7
J050827.31-210144.3 LauraRV 0.0 28.9 3
J051026.38-325307.4 LauraRV 0.0 23.1 0.4
J051310.57-303147.7 III/283/ravedr6 0.216 7.87 6.83
J051310.57-303147.7 J/AJ/157/234/table2 0.02 12.87 0.78
J051403.20-251703.8 LauraRV 0.0 23.7 1.7
J051803.00-375721.2 echelle_dec13_results  0.0  15.31 0.52
J052419.14-160115.5 III/283/ravedr6 0.252 20.63 6.56
J052419.14-160115.5 J/AJ/154/69/table4 0.25 17.5 0.6
J052419.14-160115.5 J/MNRAS/475/1960/tablea6 0.26 19.68 21.3
J052419.14-160115.5 LauraRV 0.0 25.4 2.5
J052944.69-323914.1 J/AJ/157/234/table2 0.14 22.0 0.6
J052944.69-323914.1 LauraRV 0.0 22.2 0.8
J053100.27+231218.3 LauraRV 0.0 15.2 3.2
J053311.32-291419.9 J/A+A/649/A6/table1c 0.247 25.4 0.4
J053311.32-291419.9 LauraRV 0.0 23.5 1.5
J053328.01-425720.1 III/283/ravedr6 0.578 -6.38 3.0
J053328.01-425720.1 J/AJ/157/234/table2 0.39 -4.85 0.34
J053328.01-425720.1 LauraRV 0.0 -43.8 4.2
J053747.56-424030.8 LauraRV 0.0 18.5 3.3
J053925.08-424521.0 I/345/gaia2 0.372 21.76 0.9
J053925.08-424521.0 III/283/ravedr6 0.292 15.04 2.27
J053925.08-424521.0 J/AJ/147/146/stars 0.35 21.7 0.2
J053925.08-424521.0 J/AJ/154/129/catalog 0.4 21.9 0.2
J053925.08-424521.0 LauraRV 0.0 21.6 0.5
J054223.86-275803.3 J/AJ/157/234/table2 0.25 11.47 0.51
J054433.76-200515.5 I/345/gaia2 0.189 22.24 2.56
J054433.76-200515.5 LauraRV 0.0 22.4 2.5
J054448.20-265047.4 echelle_dec13_results  0.0  17.3 0.96
J054448.20-265047.4 I/345/gaia2 0.108 43.28 14.68
J054709.88-525626.1 I/345/gaia2 0.228 34.79 5.32
J054709.88-525626.1 J/A+A/649/A6/table1c 0.237 34.793 5.3151
J054709.88-525626.1 LauraRV 0.0 27.4 6.6
J055008.59+051153.2 I/345/gaia2 0.217 17.66 3.74
J055041.58+430451.8 I/345/gaia2 0.195 -2.83 9.18
J055041.58+430451.8 J/other/RAA/15.1182/dr1mcat 0.298 18.024 22.8
J055208.04+613436.6 I/345/gaia2 0.484 -1.17 0.54
J060156.10-164859.9 echelle_dec13_results  0.0  -85.93 1.35
J060156.10-164859.9 LauraRV 0.0 -87.6 4.6
J060224.56-163450.0 J/A+A/649/A6/table1c 0.472 -8.2 0.2
J060224.56-163450.0 J/MNRAS/475/1960/tablea6 0.57 -8.22 35.3
J060224.56-163450.0 LauraRV 0.0 -10.4 0.9
J060329.60-260804.7 III/283/ravedr6 0.821 -2.89 2.17
J060329.60-260804.7 LauraRV 0.0 -3 1
J061313.30-274205.6 J/A+A/649/A6/table1c 0.028 23.9 0.9
J061313.30-274205.6 J/AJ/147/85/table4 0.184 22.54 1.16
J061313.30-274205.6 J/AJ/157/234/table2 0.22 38.8 0.41
J061313.30-274205.6 LauraRV 0.0 22.7 0.6
J061851.01-383154.9 March_14_Alex_RV  0.0  -56.559 2.005
J062047.17-361948.2 I/345/gaia2 0.14 10.69 9.8
J062047.17-361948.2 III/283/ravedr6 0.133 5.77 4.63
J062047.17-361948.2 J/MNRAS/447/1267/table1 0.11 16.5 -999
J062047.17-361948.2 LauraRV 0.0 13.4 3
J062407.62+310034.4 LauraRV 0.0 31 0.6
J063001.84-192336.6 March_14_Alex_RV  0.0  25.337 0.358
J070657.72-535345.9 I/345/gaia2 0.184 22.94 1.22
J070657.72-535345.9 III/283/ravedr6 0.478 26.56 7.78
J070657.72-535345.9 J/AJ/157/234/table2 0.38 22.57 0.9
J071036.50+171322.6 I/345/gaia2 0.286 69.79 18.45
J072821.16+334511.6 J/A+A/649/A6/table1c 0.651 10.1 0.5
J072821.16+334511.6 LauraRV 0.0 4.9 2.7
J072911.26-821214.3 I/345/gaia2 0.41 25.26 1.04
J072911.26-821214.3 J/A+A/649/A6/table1c 0.441 25.256 1.0391
J072911.26-821214.3 LauraRV 0.0 26.1 0.7
J075233.22-643630.5 I/345/gaia2 0.441 16.68 2.6
J075233.22-643630.5 III/283/ravedr6 0.302 17.38 3.29
J075808.25-043647.5 I/345/gaia2 0.209 28.71 1.53
J075808.25-043647.5 LauraRV 0.0 29.7 0.8
J075830.92+153013.4 III/198/main 2.0 18.0 -999
J075830.92+153013.4 J/A+A/649/A6/table1c 0.905 50.957 5.377
J075830.92+153013.4 J/MNRAS/475/1960/tablea6 1.34 22.99 80.1
J075830.92+153013.4 LauraRV 0.0 21.3 2.4
J080352.54+074346.7 I/345/gaia2 0.521 34.1 8.52
J080636.05-744424.6 I/345/gaia2 0.389 17.0 1.04
J080636.05-744424.6 LauraRV 0.0 18.3 0.8
J081738.97-824328.8 echelle_dec13_results  0.0  15.77 1.44
J081738.97-824328.8 III/283/ravedr6 1.32 9.62 5.33
J081738.97-824328.8 J/AJ/154/69/table4 1.59 15.6 1.5
J082105.04-090853.8 I/345/gaia2 0.287 33.26 3.72
J082105.04-090853.8 LauraRV 0.0 18.4 1.2
J082558.91+034019.5 LauraRV 0.0 32.3 15.2
J083528.87+181219.9 I/345/gaia2 0.175 -13.56 2.79
J090227.87+584813.4 I/345/gaia2 0.293 -4.48 1.84
J092216.12+043423.3 I/345/gaia2 0.457 -32.28 1.12
J092216.12+043423.3 J/other/RAA/15.1182/dr1mcat 0.749 -30.035999 24.6
J094317.05-245458.3 I/345/gaia2 0.437 -10.14 1.53
J094317.05-245458.3 LauraRV 0.0 -7.1 1.5
J094508.15+714450.1 LauraRV 0.0 1.7 2.1
J100230.94-281428.2 LauraRV 0.0 6.7 1.4
J101905.68-304920.3 I/345/gaia2 0.307 12.87 6.17
J101905.68-304920.3 LauraRV 0.0 19.3 1.6
J101917.57-443736.0 LauraRV 0.0 15.7 0.9
J102602.07-410553.8 LauraRV 0.0 7.1 11
J103016.11-354626.3 echelle_dec13_results  0.0  22.31 0.46
J103016.11-354626.3 I/345/gaia2 0.217 13.92 6.05
J103137.59-374915.9 March_14_Alex_RV  0.0  18.969 0.265
J103557.17+285330.8 J/A+A/649/A6/table1c 0.794 8.7 0.4
J103952.70-353402.5 I/345/gaia2 0.782 14.75 0.73
J104008.36-384352.1 I/345/gaia2 0.272 17.22 2.06
J104044.98-255909.2 echelle_dec13_results  0.0  20.81 0.33
J104044.98-255909.2 I/345/gaia2 0.213 20.58 1.75
J104044.98-255909.2 LauraRV 0.0 -6.7 0.7
J105518.12-475933.2 I/345/gaia2 0.396 11.93 6.15
J105518.12-475933.2 III/283/ravedr6 0.031 16.37 3.71
J105518.12-475933.2 LauraRV 0.0 17.3 1.7
J105524.25-472611.7 I/345/gaia2 0.324 -12.5 5.72
J105524.25-472611.7 March_14_Alex_RV  0.0  14.174 0.954
J105711.36+054454.2 I/345/gaia2 0.513 14.16 6.12
J105711.36+054454.2 J/AJ/157/234/table2 0.67 10.74 1.82
J110119.22+525222.9 I/345/gaia2 0.54 7.2 0.3
J110551.56-780520.7 I/345/gaia2 0.992 22.18 1.85
J111103.54-313459.0 LauraRV 0.0 21.2 5.4
J111103.54-313459.0 March_14_Alex_RV  0.0  18.088 1.465
J111128.13-265502.9 LauraRV 0.0 1.2 10.3
J111229.74-461610.1 echelle_dec13_results  0.0  12.05 0.56
J111229.74-461610.1 I/345/gaia2 0.364 11.02 1.02
J111309.15+300338.4 I/345/gaia2 0.483 7.63 3.73
J111309.15+300338.4 J/other/RAA/15.1182/dr1mcat 0.632 18.723 8.72
J111707.56-390951.3 echelle_dec13_results  0.0  16.19 1.12
J111707.56-390951.3 I/345/gaia2 0.236 12.61 3.15
J112047.03-273805.8 LauraRV 0.0 10.6 4.4
J112105.43-384516.6 I/345/gaia2 0.428 11.56 3.04
J112105.43-384516.6 III/283/ravedr6 0.849 8.83 7.53
J112105.43-384516.6 J/A+A/480/735/stars 0.9 11.1 2.4
J112105.43-384516.6 J/AJ/156/137/sample 0.849 10.9 1.0
J112105.43-384516.6 J/ApJ/840/87/targets 0.61 9.47 2.17
J112105.43-384516.6 J/MNRAS/494/2429/table1 0.74 10.85 -999
J112105.43-384516.6 LauraRV 0.0 12 0.8
J112512.28-002438.2 J/other/RAA/15.1182/dr1mcat 0.504 2.616 17.7
J112547.46-441027.4 J/AJ/157/234/table2 1.09 21.02 0.57
J112547.46-441027.4 LauraRV 0.0 20.4 2.6
J112651.28-382455.5 LauraRV 0.0 11.4 0.6
J112955.84+520213.2 I/345/gaia2 0.45 -5.8 0.69
J113114.81-482628.0 March_14_Alex_RV  0.0  -42.119 2.149
J113120.31+132140.0 J/other/RAA/15.1182/dr1mcat 0.291 29.712 23.5
J114623.01-523851.8 J/AJ/157/234/table2 0.79 7.59 2.18
J114728.37+664402.7 J/A+A/612/A49/tableb1 1.16 -9.543 -999
J114728.37+664402.7 J/A+A/656/A162/table1 1.14 -9.4 0.04
J115156.73+073125.7 J/A+A/649/A6/table1c 0.812 -11.1 2.3
J115927.82-451019.3 LauraRV 0.0 11.4 1.2
J115949.51-424426.0 I/345/gaia2 0.513 2.12 0.86
J115949.51-424426.0 III/283/ravedr6 0.664 2.98 1.13
J115949.51-424426.0 J/AJ/157/234/table2 0.7 6.54 0.71
J115949.51-424426.0 LauraRV 0.0 9.4 0.7
J115949.51-424426.0 March_14_Alex_RV  0.0  5.507 0.379
J115957.68-262234.1 LauraRV 0.0 10.6 3.3
J120001.54-173131.1 I/345/gaia2 0.59 1.65 4.25
J120001.54-173131.1 III/283/ravedr6 0.886 3.99 6.94
J120001.54-173131.1 J/ApJ/840/87/targets 0.73 20.12 2.37
J120001.54-173131.1 LauraRV 0.0 6.6 5.3
J120001.54-173131.1 March_14_Alex_RV  0.0  -43.032 131.943
J120237.94-332840.4 LauraRV 0.0 8.1 5.2
J120647.40-192053.1 I/345/gaia2 0.432 -3.07 3.98
J120647.40-192053.1 III/283/ravedr6 0.407 31.76 13.54
J120929.80-750540.2 III/283/ravedr6 0.716 0.71 4.66
J120929.80-750540.2 J/AJ/157/234/table2 0.7 2.42 0.2
J121153.04+124912.9 J/AJ/157/234/table2 0.83 -0.25 0.74
J121153.04+124912.9 J/other/RAA/15.1182/dr1mcat 0.818 6.978 24.0
J121429.15-425814.8 I/345/gaia2 0.613 0.45 7.74
J121429.15-425814.8 March_14_Alex_RV  0.0  -31.447 1.947
J121823.63-351509.8 I/345/gaia2 0.603 10.34 6.47
J122643.99-122918.3 III/283/ravedr6 2.392 -6.36 2.71
J122643.99-122918.3 J/AJ/157/234/table2 2.18 2.2 0.78
J122643.99-122918.3 LauraRV 0.0 -6.2 1.4
J122643.99-122918.3 March_14_Alex_RV  0.0  1.317 0.737
J122725.27-454006.6 I/345/gaia2 0.324 11.69 5.79
J122725.27-454006.6 III/283/ravedr6 0.179 13.29 3.61
J122725.27-454006.6 LauraRV 0.0 13.8 1.3
J123005.17-440236.1 LauraRV 0.0 8.5 1.8
J123425.84-174544.4 LauraRV 0.0 19.8 2.2
J124054.09-451625.4 LauraRV 0.0 11.5 1.3
J124955.67-460737.3 I/345/gaia2 0.391 8.29 2.21
J124955.67-460737.3 III/283/ravedr6 0.205 8.99 2.21
J124955.67-460737.3 LauraRV 0.0 9.5 0.8
J125049.12-423123.6 LauraRV 0.0 8.7 12.9
J125326.99-350415.3 LauraRV 0.0 5.6 1.7
J125902.99-314517.9 LauraRV 0.0 4.3 2
J130501.18-331348.7 I/345/gaia2 0.434 -2.42 1.72
J130522.37-405701.2 III/283/ravedr6 0.369 3.67 4.95
J130522.37-405701.2 LauraRV 0.0 6.3 1
J130530.31-405626.0 III/283/ravedr6 0.308 9.76 4.11
J130530.31-405626.0 LauraRV 0.0 9 1.5
J130650.27-460956.1 I/345/gaia2 0.627 2.16 6.17
J130650.27-460956.1 J/MNRAS/491/215/table2 0.07 12.42 2.41
J131129.00-425241.9 I/345/gaia2 0.357 4.63 2.81
J132112.77-285405.1 LauraRV 0.0 94.2 4.7
J133238.94+305905.8 J/A+A/649/A6/table1c 1.23 9.883 3.024
J133238.94+305905.8 J/AJ/147/20/table6 2.04 -10 4
J133509.40+503917.5 I/345/gaia2 1.671 -12.82 2.76
J133509.40+503917.5 J/other/RAA/15.1182/dr1mcat 0.814 10.644 20.2
J133901.87-214128.0 J/A+A/649/A6/table1c 0.417 2.8 1.6
J134146.41+581519.2 J/A+A/614/A76/tablea1 0.99 -10.7 0.62
J134146.41+581519.2 J/MNRAS/475/1960/tablea6 1.0 -10.68 4.3
J134907.28+082335.8 I/345/gaia2 0.553 1.05 1.07
J135145.65-374200.7 III/283/ravedr6 0.363 3.2 2.16
J135913.33-292634.2 III/283/ravedr6 0.81 -1.15 1.43
J135913.33-292634.2 LauraRV 0.0 -21.1 0.5
J135913.33-292634.2 March_14_Alex_RV  0.0  -2.198 0.431
J141842.36+475514.9 I/345/gaia2 0.19 10.71 10.2
J141842.36+475514.9 J/ApJS/249/22/catalog 0.222 -10.0 3.105
J141842.36+475514.9 J/ApJS/249/22/epochs 0.222 -18.8 3.105
J141842.36+475514.9 J/other/RAA/15.1182/dr1mcat 0.222 -8.946 31.6
J141903.13+645146.4 J/A+A/649/A6/table1c 0.745 -12.0 2.4
J143517.80-342250.4 I/345/gaia2 0.392 2.69 1.11
J145949.90+244521.9 I/345/gaia2 0.301 13.82 13.46
J150355.37-214643.1 LauraRV 0.0 -2.2 1.4
J150939.16-133212.4 J/A+A/649/A6/table1c 0.521 -8.825 5.876
J150939.16-133212.4 LauraRV 0.0 -7.3 10.3
J151212.18-255708.3 III/283/ravedr6 0.378 -10.04 4.78
J151411.31-253244.1 I/345/gaia2 0.174 -2.23 5.57
J152150.76-251412.1 I/345/gaia2 0.556 -24.12 1.72
J152150.76-251412.1 J/ApJ/840/87/targets 0.52 -0.79 2.92
J153248.80-230812.4 I/345/gaia2 0.323 -15.68 9.32
